,year,p
0,1818,groote buitenlandsche bezittingen
1,1818,groote buitenlandsche huzen
2,1826,groote buitenlandsche kapitalen
3,1827,groote buitenlandsche en
4,1827,groote buitenlandsche ongelegenheden
5,1830,groote buitenlandsche huizen
6,1833,groote buitenlandsche aangelegenheden
7,1834,groote buitenlandsche schuld
8,1835,groote buitenlandsche aanvoer
9,1835,groote buitenlandsche kwestieu
10,1840,groote buitenlandsche gebeurtenissen
11,1840,groote buitenlandsche concurrentie
12,1840,groote buitenlandsche gebeurtenissen
13,1840,groote buitenlandsche steden
14,1840,groote buitenlandsche sleden
15,1842,groote buitenlandsche concurrentie
16,1843,groote buitenlandsche hinderpaal
17,1845,groote buitenlandsche magten
18,1845,groote buitenlandsche resultaat
19,1846,groote buitenlandsche speculatien
20,1847,groote buitenlandsche aanvoeren
21,1847,groote buitenlandsche aanvoeren
22,1849,groote buitenlandsche toevoer
23,1849,groote buitenlandsche toevoer
24,1851,groote buitenlandsche bladen
25,1854,groote buitenlandsche bladen
26,1854,groote buitenlandsche orders
27,1854,groote buitenlandsche handelsbelangen
28,1855,groote buitenlandsche instellingen
29,1856,groote buitenlandsche bladen
30,1856,groote buitenlandsche vraagstuk
31,1857,groote buitenlandsche orders
32,1858,groote buitenlandsche mogendheden
33,1858,groote buitenlandsche handelhuizen
34,1858,groote buitenlandsche bladen
35,1858,groote buitenlandsche mogendheden
36,1858,groote buitenlandsche orders
37,1858,groote buitenlandsche orders
38,1859,groote buitenlandsche fabriekanten
39,1859,groote buitenlandsche fabriekanten
40,1860,groote buitenlandsche crisis
41,1860,groote buitenlandsche verbindingen
42,1860,groote buitenlandsche mogendheid
43,1860,groote buitenlandsche mogendheid
44,1860,groote buitenlandsche communicatien
45,1860,groote buitenlandsche havens
46,1861,groote buitenlandsche gevaren
47,1861,groote buitenlandsche reis
48,1861,groote buitenlandsche delft
49,1861,groote buitenlandsche reis
50,1861,groote buitenlandsche mogendheid
51,1861,groote buitenlandsche reizen
52,1861,groote buitenlandsche kwestiën
53,1861,groote buitenlandsche mogendheden
54,1861,groote buitenlandsche theaters
55,1861,groote buitenlandsche reis
56,1861,groote buitenlandsche theaters
57,1861,groote buitenlandsche markten
58,1862,groote buitenlandsche actie
59,1863,groote buitenlandsche reis
60,1863,groote buitenlandsche reis
61,1863,groote buitenlandsche en
62,1863,groote buitenlandsche dagbladen
63,1863,groote buitenlandsche rei»
64,1863,groote buitenlandsche reis
65,1863,groote buitenlandsche reis
66,1863,groote buitenlandsche ondernemingen
67,1863,groote buitenlandsche reis
68,1864,groote buitenlandsche reis
69,1864,groote buitenlandsche reis
70,1864,groote buitenlandsche ries
71,1864,groote buitenlandsche kunstkenners
72,1864,groote buitenlandsche belangen
73,1864,groote buitenlandsche bladen
74,1864,groote buitenlandsche verwikkelingen
75,1864,groote buitenlandsche nieuws
76,1864,groote buitenlandsche vraagstukken
77,1864,groote buitenlandsche reis
78,1864,groote buitenlandsche reis
79,1865,groote buitenlandsche bladen
80,1865,groote buitenlandsche spoorwegonderneming
81,1865,groote buitenlandsche steden
82,1865,groote buitenlandsche markten
83,1865,groote buitenlandsche dagbladen
84,1866,groote buitenlandsche maatschappij
85,1866,groote buitenlandsche vraastukken
86,1866,groote buitenlandsche reis
87,1866,groote buitenlandsche reis
88,1866,groote buitenlandsche maatschappij
89,1866,groote buitenlandsche reis
90,1867,groote buitenlandsche opgaven
91,1867,groote buitenlandsche en
92,1867,groote buitenlandsche fabrieken
93,1867,groote buitenlandsche aangelegenheid
94,1867,groote buitenlandsche bladen
95,1867,groote buitenlandsche spoorwegstations
96,1868,groote buitenlandsche aanvoer
97,1868,groote buitenlandsche verkooporders
98,1868,groote buitenlandsche verwikkelingen
99,1868,groote buitenlandsche verwikkelingen
100,1868,groote buitenlandsche hoofdsteden
101,1868,groote buitenlandsche vraagstukken
102,1868,groote buitenlandsche firmas
103,1868,groote buitenlandsche vijanden
104,1868,groote buitenlandsche leening
105,1869,groote buitenlandsche bladen
106,1869,groote buitenlandsche maatschappij
107,1869,groote buitenlandsche reis
108,1869,groote buitenlandsche maatschappij
109,1869,groote buitenlandsche maatschappij
110,1869,groote buitenlandsche pers
111,1869,groote buitenlandsche reis
112,1869,groote buitenlandsche bladen
113,1869,groote buitenlandsche bladen
114,1869,groote buitenlandsche nieuws
115,1869,groote buitenlandsche reis
116,1869,groote buitenlandsche vaart
117,1869,groote buitenlandsche reis
118,1869,groote buitenlandsche reis
119,1870,groote buitenlandsche wereldmarkten
120,1870,groote buitenlandsche aaubiedingen
121,1870,groote buitenlandsche quaestien
122,1871,groote buitenlandsche staatslecningen
123,1871,groote buitenlandsche reizen
124,1871,groote buitenlandsche reis
125,1871,groote buitenlandsche verkoopen
126,1872,groote buitenlandsche vraagstuk
127,1872,groote buitenlandsche schuld
128,1872,groote buitenlandsche bladen
129,1872,groote buitenlandsche havens
130,1872,groote buitenlandsche spoorwegen
131,1872,groote buitenlandsche reis
132,1872,groote buitenlandsche maatschappijen
133,1872,groote buitenlandsche bladen
134,1872,groote buitenlandsche bladen
135,1873,groote buitenlandsche reis
136,1873,groote buitenlandsche reis
137,1873,groote buitenlandsche bladen
138,1873,groote buitenlandsche dagbladen
139,1873,groote buitenlandsche bladen
140,1873,groote buitenlandsche geïllustreerde
141,1873,groote buitenlandsche bladen
142,1874,groote buitenlandsche liberale
143,1874,groote buitenlandsche aangelegenheden
144,1874,groote buitenlandsche aangelegenheid
145,1874,groote buitenlandsche feiten
146,1874,groote buitenlandsche politieke
147,1875,groote buitenlandsche scheepvaart
148,1875,groote buitenlandsche gebeurtenissen
149,1875,groote buitenlandsche maatschappijen
150,1876,groote buitenlandsche maatschappijen
151,1876,groote buitenlandsche reis
152,1876,groote buitenlandsche reis
153,1876,groote buitenlandsche kwestie
154,1876,groote buitenlandsche steden
155,1876,groote buitenlandsche steden
156,1876,groote buitenlandsche reis
157,1876,groote buitenlandsche oorlogen
158,1876,groote buitenlandsche bladen
159,1877,groote buitenlandsche componisten
160,1877,groote buitenlandsche en
161,1877,groote buitenlandsche reis
162,1878,groote buitenlandsche verkoopen
163,1878,groote buitenlandsche leening
164,1878,groote buitenlandsche leening
165,1878,groote buitenlandsche pers
166,1878,groote buitenlandsche koopraansbourzon
167,1878,groote buitenlandsche dagbladen
168,1878,groote buitenlandsche banken
169,1878,groote buitenlandsche maats
170,1878,groote buitenlandsche maatschappijen
171,1879,groote buitenlandsche door
172,1879,groote buitenlandsche huizen
173,1879,groote buitenlandsche bladen
174,1879,groote buitenlandsche bladen
175,1879,groote buitenlandsche magazijnen
176,1879,groote buitenlandsche staatsleeningen
177,1879,groote buitenlandsche verkooporders
178,1879,groote buitenlandsche hankiershuizen
179,1879,groote buitenlandsche zeehavens
180,1879,groote buitenlandsche bladen
181,1879,groote buitenlandsche bladen
182,1879,groote buitenlandsche maatschappij
183,1879,groote buitenlandsche bladen
184,1879,groote buitenlandsche huizen
185,1879,groote buitenlandsche handelshuizen
186,1879,groote buitenlandsche handelshuizen
187,1879,groote buitenlandsche lmiïen
188,1879,groote buitenlandsche de
189,1880,groote buitenlandsche pers
190,1880,groote buitenlandsche mogendheid
191,1880,groote buitenlandsche steden
192,1880,groote buitenlandsche huizen
193,1880,groote buitenlandsche vraag
194,1880,groote buitenlandsche bladen
195,1880,groote buitenlandsche koopers
196,1880,groote buitenlandsche vraagjpctverbeteren
197,1881,groote buitenlandsche vraag
198,1881,groote buitenlandsche schepen
199,1881,groote buitenlandsche schepen
200,1881,groote buitenlandsche huizen
201,1881,groote buitenlandsche meest
202,1881,groote buitenlandsche koopvaardijers
203,1881,groote buitenlandsche maatschappijen
204,1881,groote buitenlandsche zangeressen
205,1881,groote buitenlandsche bladen
206,1881,groote buitenlandsche veieninngcn
207,1882,groote buitenlandsche maatschappijen
208,1882,groote buitenlandsche kooporders
209,1882,groote buitenlandsche steden
210,1882,groote buitenlandsche vennootschappen
211,1882,groote buitenlandsche tentoonstellingen
212,1882,groote buitenlandsche reizin
213,1882,groote buitenlandsche reien
214,1882,groote buitenlandsche maatschappijen
215,1882,groote buitenlandsche leening
216,1882,groote buitenlandsche monarchiën
217,1882,groote buitenlandsche bladen
218,1883,groote buitenlandsche aanbiedingen
219,1883,groote buitenlandsche inkoopen
220,1883,groote buitenlandsche bladen
221,1883,groote buitenlandsche kooporders
222,1883,groote buitenlandsche centra
223,1883,groote buitenlandsche bladen
224,1883,groote buitenlandsche verkooporders
225,1883,groote buitenlandsche bladen
226,1883,groote buitenlandsche centra
227,1883,■groote buitenlandsche haven
228,1883,groote buitenlandsche haven
229,1883,groote buitenlandsche werken
230,1884,igroote buitenlandsche reis
231,1884,groote buitenlandsche reis
232,1884,groote buitenlandsche bladen
233,1884,groote buitenlandsche consumenten
234,1884,groote buitenlandsche weekmarkten
235,1884,groote buitenlandsche weekmarkten
236,1884,groote buitenlandsche aanvoer
237,1884,groote buitenlandsche bladen
238,1884,groote buitenlandsche gevaar
239,1884,groote buitenlandsche bladen
240,1884,groote buitenlandsche reizen
241,1885,groote buitenlandsche bladen
242,1885,groote buitenlandsche musea
243,1885,groote buitenlandsche steden
244,1885,groote buitenlandsche bladen
245,1885,groote buitenlandsche steden
246,1885,groote buitenlandsche vraagstukken
247,1885,groote buitenlandsche reis
248,1885,groote buitenlandsche fabrikanten
249,1885,groote buitenlandsche stad
250,1885,groote buitenlandsche couranten
251,1885,groote buitenlandsche bladen
252,1885,groote buitenlandsche bladen
253,1885,groote buitenlandsche vooral
254,1885,groote buitenlandsche bladen
255,1885,groote buitenlandsche uitvoeringen
256,1886,groote buitenlandsche bladen
257,1886,groote buitenlandsche concurrentie
258,1886,groote buitenlandsche beurzen
259,1886,groote buitenlandsche inkoopen
260,1886,groote buitenlandsche aankoopen
261,1886,groote buitenlandsche aanbiedingen
262,1886,groote buitenlandsche beurzen
263,1886,groote buitenlandsche havens
264,1886,groote buitenlandsche markten
265,1886,groote buitenlandsche acteurs
266,1886,groote buitenlandsche reis
267,1886,groote buitenlandsche musea
268,1886,groote buitenlandsche beurzen
269,1886,groote buitenlandsche paardenkooplieden
270,1886,groote buitenlandsche markten
271,1886,groote buitenlandsche acteurs
272,1887,groote buitenlandsche bladen
273,1887,groote buitenlandsche handelssteden
274,1887,groote buitenlandsche markten
275,1887,groote buitenlandsche leening
276,1887,groote buitenlandsche leeningon
277,1887,groote buitenlandsche reia
278,1887,groote buitenlandsche inkoopen
279,1887,groote buitenlandsche schouwburgen
280,1887,groote buitenlandsche inkoopen
281,1887,groote buitenlandsche bladen
282,1888,groote buitenlandsche inkoopen
283,1888,groote buitenlandsche inkoopen
284,1888,groote buitenlandsche universiteit
285,1888,groote buitenlandsche steden
286,1888,groote buitenlandsche oorlog
287,1888,groote buitenlandsche universiteit
288,1888,groote buitenlandsche steden
289,1888,groote buitenlandsche inkoopen
290,1888,groote buitenlandsche universiteit
291,1888,groote buitenlandsche universiteit
292,1889,groote buitenlandsche uitvoer
293,1889,groote buitenlandsche inkoopen
294,1889,groote buitenlandsche inkoopen
295,1889,groote buitenlandsche leening
296,1889,groote buitenlandsche inkoopen
297,1889,groote buitenlandsche inkoopen
298,1889,groote buitenlandsche bladen
299,1889,groote buitenlandsche inkoopen
300,1889,groote buitenlandsche leening
301,1889,groote buitenlandsche reizen
302,1889,groote buitenlandsche werf
303,1889,groote buitenlandsche voortbrenger
304,1889,groote buitenlandsche leening
305,1889,groote buitenlandsche aankoopen
306,1889,groote buitenlandsche handelshavens
307,1889,groote buitenlandsche verkoopen
308,1889,groote buitenlandsche handelaars
309,1889,groote buitenlandsche inkoopen
310,1889,groote buitenlandsche reis
311,1889,groote buitenlandsche leening
312,1889,groote buitenlandsche inkoopen
313,1889,groote buitenlandsche leening
314,1889,groote buitenlandsche inkoopen
315,1889,groote buitenlandsche leening
316,1889,groote buitenlandsche ïntoopen
317,1889,groote buitenlandsche leening
318,1889,groote buitenlandsche bladen
319,1890,groote buitenlandsche huizen
320,1890,groote buitenlandsche magazijnen
321,1890,groote buitenlandsche staatkunde
322,1890,groote buitenlandsche inkoopen
323,1890,groote buitenlandsche banken
324,1890,groote buitenlandsche photografen
325,1890,groote buitenlandsche steden
326,1890,groote buitenlandsche tijdschriften
327,1890,groote buitenlandsche staatkunde
328,1890,groote buitenlandsche bankiers
329,1890,groote buitenlandsche reizen
330,1890,groote buitenlandsche staatkudde
331,1890,groote buitenlandsche ijavoerhandelaren
332,1891,groote buitenlandsche reis
333,1891,groote buitenlandsche reis
334,1891,groote buitenlandsche pers
335,1891,groote buitenlandsche kooporders
336,1891,groote buitenlandsche talenten
337,1891,groote buitenlandsche ondernemingen
338,1891,groote buitenlandsche musea
339,1891,groote buitenlandsche bladen
340,1891,groote buitenlandsche bladen
341,1891,groote buitenlandsche inrichtingen
342,1891,groote buitenlandsche endernemingen
343,1891,groote buitenlandsche on
344,1891,groote buitenlandsche bladen
345,1891,groote buitenlandsche firmas
346,1891,groote buitenlandsche bladen
347,1891,groote buitenlandsche huders
348,1891,groote buitenlandsche musea
349,1891,groote buitenlandsche orders
350,1892,degroote buitenlandsche pers
351,1892,groote buitenlandsche beurzen
352,1892,groote buitenlandsche machinefabrieken
353,1892,groote buitenlandsche pers
354,1892,groote buitenlandsche pers
355,1892,groote buitenlandsche reizen
356,1892,groote buitenlandsche bladen
357,1892,groote buitenlandsche productie
358,1892,groote buitenlandsche bladen
359,1892,groote buitenlandsche als
360,1892,groote buitenlandsche machinefabrieken
361,1892,groote buitenlandsche aankoopen
362,1893,groote buitenlandsche vereenigingen
363,1893,groote buitenlandsche vereenigingen
364,1893,groote buitenlandsche magazijnen
365,1893,groote buitenlandsche inkoopen
366,1893,groote buitenlandsche vereenigingen
367,1893,groote buitenlandsche magazijnen
368,1893,groote buitenlandsche firma
369,1893,groote buitenlandsche bladen
370,1893,groote buitenlandsche firmas
371,1893,groote buitenlandsche magazijnen
372,1893,groote buitenlandsche vereenigingen
373,1893,groote buitenlandsche badplaatsen
374,1893,groote buitenlandsche huizen
375,1893,groote buitenlandsche baissepositie
376,1893,groote buitenlandsche magazijnen
377,1893,groote buitenlandsche magazijnen
378,1893,groote buitenlandsche zaken
379,1893,groote buitenlandsche magazijnen
380,1893,groote buitenlandsche magazgnen
381,1893,groote buitenlandsche leening
382,1893,groote buitenlandsche vereenigingen
383,1893,groote buitenlandsche magazijnen
384,1893,groote buitenlandsche magazijnen
385,1893,groote buitenlandsche aanvoeren
386,1893,groote buitenlandsche orders
387,1893,groote buitenlandsche liavenplaatsen
388,1893,groote buitenlandsche magazijnen
389,1893,groote buitenlandsche assurantiemaatschappijen
390,1893,groote buitenlandsche vereenigingen
391,1893,groote buitenlandsche pers
392,1893,groote buitenlandsche magazijnen
393,1893,groote buitenlandsche magazijnen
394,1894,groote buitenlandsche collegas
395,1894,groote buitenlandsche tentoonstelling
396,1894,groote buitenlandsche reis
397,1894,groote buitenlandsche courant
398,1894,groote buitenlandsche bladen
399,1894,groote buitenlandsche stoombooten
400,1894,groote buitenlandsche pen
401,1894,groote buitenlandsche tentoonstelling
402,1894,groote buitenlandsche aandeelhouders
403,1894,groote buitenlandsche bladen
404,1894,groote buitenlandsche stoomboten
405,1894,groote buitenlandsche leening
406,1894,groote buitenlandsche steden
407,1894,groote buitenlandsche bladen
408,1894,groote buitenlandsche aandeelhouders
409,1894,groote buitenlandsche stoombooten
410,1894,groote buitenlandsche stoombooten
411,1894,groote buitenlandsche belanghebbenden
412,1894,groote buitenlandsche steden
413,1894,groote buitenlandsche tentoonstelling
414,1894,groote buitenlandsche steden
415,1895,groote buitenlandsche exeailg
416,1895,groote buitenlandsche leening
417,1895,groote buitenlandsche wapenfabrieken
418,1895,groote buitenlandsche bladenheeft
419,1895,groote buitenlandsche bladen
420,1895,groote buitenlandsche steden
421,1895,groote buitenlandsche belangen
422,1895,groote buitenlandsche blacfsn
423,1895,groote buitenlandsche havens
424,1895,groote buitenlandsche vruchtenveilingen
425,1895,groote buitenlandsche protectie
426,1895,groote buitenlandsche bladen
427,1895,groote buitenlandsche bladen
428,1895,groote buitenlandsche bladen
429,1895,groote buitenlandsche oorlog
430,1895,groote buitenlandsche illustratiën
431,1895,groote buitenlandsche staat3lcening
432,1896,groote buitenlandsche huizen
433,1896,groote buitenlandsche emissiebanken
434,1896,groote buitenlandsche looieruen
435,1896,groote buitenlandsche tijdschriften
436,1896,groote buitenlandsche bladen
437,1896,groote buitenlandsche reis
438,1896,groote buitenlandsche bladen
439,1896,groote buitenlandsche bladen
440,1896,groote buitenlandsche aanvoeren
441,1896,groote buitenlandsche instelling
442,1896,groote buitenlandsche steden
443,1896,groote buitenlandsche rijders
444,1896,groote buitenlandsche bladen
445,1896,groote buitenlandsche handelssteden
446,1896,groote buitenlandsche reis
447,1896,groote buitenlandsche bladen
448,1896,groote buitenlandsche veilingen
449,1896,groote buitenlandsche illustraties
450,1896,groote buitenlandsche bladen
451,1896,groote buitenlandsche vraag
452,1896,groote buitenlandsche verbindingen
453,1896,groote buitenlandsche organen
454,1896,groote buitenlandsche bladen
455,1896,groote buitenlandsche bladen
456,1896,groote buitenlandsche verkoopen
457,1896,groote buitenlandsche politiek
458,1896,groote buitenlandsche bladen
459,1896,groote buitenlandsche bladen
460,1897,groote buitenlandsche handelaren
461,1897,groote buitenlandsche bladen
462,1897,groote buitenlandsche bladen
463,1897,groote buitenlandsche bladen
464,1897,groote buitenlandsche fabriek
465,1897,groote buitenlandsche buitenlandsche
466,1897,groote buitenlandsche stoomvaartmaatschappijen
467,1897,groote buitenlandsche firma
468,1897,groote buitenlandsche publiek
469,1897,groote buitenlandsche lijnen
470,1897,groote buitenlandsche firmas
471,1897,groote buitenlandsche bladen
472,1897,groote buitenlandsche steden
473,1897,groote buitenlandsche wielrijders
474,1897,groote buitenlandsche bladen
475,1897,groote buitenlandsche bladen
476,1897,groote buitenlandsche bladen
477,1897,groote buitenlandsche bladen
478,1897,groote buitenlandsche bladen
479,1897,groote buitenlandsche schepen
480,1897,groote buitenlandsche bladen
481,1897,groote buitenlandsche bladen
482,1897,groote buitenlandsche universiteit
483,1897,groote buitenlandsche wielrgders
484,1898,groote buitenlandsche nieuws
485,1898,groote buitenlandsche vraag
486,1898,groote buitenlandsche revues
487,1898,groote buitenlandsche vraag
488,1898,groote buitenlandsche pers
489,1898,groote buitenlandsche weekbladen
